time,tl_id,chosen_action,pressure,upstream_sum,active_veh
501.0,J3,0,0,0,6
501.0,J4,1,1,1,6
506.0,J1,1,0,0,5
506.0,J2,0,0,0,5
506.0,J3,0,0,0,5
506.0,J4,1,0,0,5
511.0,J1,0,2,2,7
511.0,J2,0,0,0,7
511.0,J3,0,0,0,7
511.0,J4,0,0,0,7
516.0,J1,0,0,0,6
516.0,J2,3,1,1,6
516.0,J3,0,0,0,6
516.0,J4,0,0,0,6
521.0,J1,0,0,0,8
521.0,J2,3,2,2,8
521.0,J3,1,1,1,8
521.0,J4,0,1,1,8
526.0,J1,0,0,0,7
526.0,J2,1,1,1,7
526.0,J3,1,0,0,7
526.0,J4,0,0,0,7
531.0,J1,1,1,1,7
531.0,J2,1,0,0,7
531.0,J3,0,0,0,7
531.0,J4,0,0,0,7
536.0,J1,1,0,0,6
536.0,J2,0,0,0,6
536.0,J3,0,0,0,6
536.0,J4,0,0,0,6
541.0,J1,0,2,2,7
541.0,J2,0,0,0,7
541.0,J3,0,0,0,7
541.0,J4,1,1,1,7
546.0,J1,0,0,0,6
546.0,J2,3,1,1,6
546.0,J3,0,0,0,6
546.0,J4,1,0,0,6
551.0,J1,0,0,0,6
551.0,J2,3,0,0,6
551.0,J3,1,1,1,6
551.0,J4,0,0,0,6
556.0,J1,0,0,0,6
556.0,J2,0,0,0,6
556.0,J3,1,0,0,6
556.0,J4,0,0,0,6
561.0,J1,1,1,1,7
561.0,J2,0,2,2,7
561.0,J3,0,0,0,7
561.0,J4,0,1,1,7
566.0,J1,1,0,0,6
566.0,J2,1,1,1,6
566.0,J3,0,0,0,6
566.0,J4,0,0,0,6
571.0,J1,0,2,2,7
571.0,J2,1,1,1,7
571.0,J3,0,0,0,7
571.0,J4,0,0,0,7
576.0,J1,0,0,0,7
576.0,J2,3,1,1,7
576.0,J3,0,0,0,7
576.0,J4,0,0,0,7
581.0,J1,0,0,0,6
581.0,J2,3,1,1,6
581.0,J3,1,1,1,6
581.0,J4,1,1,1,6
586.0,J1,0,0,0,6
586.0,J2,0,1,1,6
586.0,J3,1,0,0,6
586.0,J4,1,0,0,6
591.0,J1,1,1,1,6
591.0,J2,0,0,0,6
591.0,J3,0,0,0,6
591.0,J4,0,0,0,6
596.0,J1,1,1,1,5
596.0,J2,0,0,0,5
596.0,J3,0,0,0,5
596.0,J4,0,0,0,5
601.0,J1,3,3,3,10
601.0,J2,1,2,2,10
601.0,J3,0,2,2,10
601.0,J4,0,1,1,10
606.0,J1,3,1,1,12
606.0,J2,1,0,0,12
606.0,J3,0,0,0,12
606.0,J4,0,0,0,12
611.0,J1,0,2,2,14
611.0,J2,1,1,1,14
611.0,J3,1,1,1,14
611.0,J4,0,0,0,14
616.0,J1,0,1,1,17
616.0,J2,0,0,0,17
616.0,J3,1,1,1,17
616.0,J4,3,1,1,17
621.0,J1,1,2,2,19
621.0,J2,0,1,1,19
621.0,J3,0,1,1,19
621.0,J4,3,0,0,19
626.0,J1,1,1,1,19
626.0,J2,1,1,1,19
626.0,J3,0,0,0,19
626.0,J4,0,0,0,19
631.0,J1,3,3,3,22
631.0,J2,1,1,1,22
631.0,J3,0,1,1,22
631.0,J4,0,1,1,22
636.0,J1,3,1,1,22
636.0,J2,0,1,1,22
636.0,J3,0,0,0,22
636.0,J4,1,1,1,22
641.0,J1,2,2,2,27
641.0,J2,0,1,1,27
641.0,J3,1,2,2,27
641.0,J4,1,1,1,27
646.0,J1,2,2,2,29
646.0,J2,0,0,0,29
646.0,J3,1,1,1,29
646.0,J4,0,0,0,29
651.0,J1,1,3,3,31
651.0,J2,1,2,2,31
651.0,J3,0,1,1,31
651.0,J4,0,0,0,31
656.0,J1,1,1,1,27
656.0,J2,1,2,2,27
656.0,J3,0,0,0,27
656.0,J4,0,0,0,27
661.0,J1,0,3,3,30
661.0,J2,2,3,3,30
661.0,J3,1,2,2,30
661.0,J4,0,0,0,30
666.0,J1,0,2,2,31
666.0,J2,2,1,1,31
666.0,J3,1,0,0,31
666.0,J4,0,0,0,31
671.0,J1,3,3,3,31
671.0,J2,0,2,2,31
671.0,J3,0,1,1,31
671.0,J4,1,1,1,31
676.0,J1,3,2,2,31
676.0,J2,0,1,1,31
676.0,J3,0,2,2,31
676.0,J4,1,0,0,31
681.0,J1,1,3,4,32
681.0,J2,1,3,3,32
681.0,J3,3,2,2,32
681.0,J4,0,1,1,32
686.0,J1,1,0,0,31
686.0,J2,1,1,1,31
686.0,J3,3,1,1,31
686.0,J4,0,0,0,31
691.0,J1,3,2,2,32
691.0,J2,2,2,2,32
691.0,J3,1,2,2,32
691.0,J4,0,0,0,32
